Yield	Nitrogen	Variety
4.7	Low	V1
5.3	Low	V1
5.1	Low	V1
6	Low	V1
6.5	Low	V1
4.8	Low	V1
5.6	Low	V1
5.8	Low	V1
5.4	Low	V1
1.3	Low	V2
2.2	Low	V2
2.1	Low	V2
3.3	Low	V2
1.8	Low	V2
2.4	Low	V2
2.6	Low	V2
2.7	Low	V2
3.1	Low	V2
6.4	Medium	V1
7.5	Medium	V1
6.9	Medium	V1
8.1	Medium	V1
5.9	Medium	V1
7.6	Medium	V1
7.1	Medium	V1
6.4	Medium	V1
8.6	Medium	V1
6.1	Medium	V2
7.2	Medium	V2
7.4	Medium	V2
8.6	Medium	V2
5.7	Medium	V2
7.2	Medium	V2
6.7	Medium	V2
6.9	Medium	V2
8.4	Medium	V2
7.8	High	V1
7.4	High	V1
8.3	High	V1
6.9	High	V1
6.5	High	V1
7.2	High	V1
6.3	High	V1
7.9	High	V1
7.7	High	V1
10.8	High	V2
9.8	High	V2
11.4	High	V2
10.6	High	V2
12.2	High	V2
9.6	High	V2
11.1	High	V2
10.4	High	V2
10.9	High	V2
